Participant,condition,poster,C1,C2,C3,A1,A2,A3,A4,A5,A6,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Q1,Q2
1,2,,1,1,4,5,4,4,3,4,4,5,5,5,2,2,1,4,4,4,4,4,4,4,2,4,2,4,2,4,2,4,2,,
1,1,,2,2,5,4,5,4,2,4,4,5,5,5,2,2,2,4,4,4,4,4,4,4,2,4,1,4,2,4,2,4,2,,
2,2,,2,2,4,4,5,4,3,4,4,4,4,4,2,1,2,4,4,4,4,4,4,4,2,4,1,4,2,4,2,3,2,,
2,1,,5,1,2,4,4,3,3,3,3,2,1,2,3,2,3,2,2,2,3,2,2,2,3,3,2,4,2,4,2,3,1,,
3,1,,2,2,4,2,5,4,3,3,4,5,5,4,2,1,1,4,4,4,5,5,5,5,2,4,2,4,1,5,2,4,1,,
4,1,,1,1,4,4,4,5,4,4,4,4,5,5,1,1,1,4,4,4,4,5,5,5,1,5,1,4,1,5,1,5,1,,
5,2,,2,1,5,4,5,4,4,4,4,4,4,5,1,1,1,4,4,4,4,4,4,4,2,4,1,4,1,4,1,4,1,,
6,2,,3,2,4,4,5,4,4,3,4,4,3,4,2,2,2,5,4,4,5,5,4,3,3,4,3,4,2,5,1,4,1,,
7,1,,2,2,4,4,4,4,4,3,4,3,4,3,2,2,2,3,4,4,4,4,4,3,2,4,2,3,2,4,2,4,2,,
7,3,,2,1,5,4,5,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,3,3,3,4,2,3,2,4,2,4,2,,
7,2,,1,1,5,4,4,4,4,4,4,4,4,4,2,2,2,3,4,4,4,4,4,3,2,4,2,3,2,4,2,4,2,,
8,1,,3,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,3,3,2,,
8,2,,4,3,3,4,4,4,3,4,4,4,4,3,3,3,2,3,3,3,4,4,3,3,3,4,3,3,3,4,3,3,3,,
8,3,,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,2,,
9,3,C,2,2,5,3,4,4,4,5,4,5,4,4,3,2,2,4,3,3,5,5,5,4,4,4,3,4,2,4,2,4,2,刚才我学到了哪些新知识呢？首先呢，我了解到了是就是一个发展的全球新明星的一个发展的历史，然后大概。知道就是什么玻璃墙，什么倒塌什么的那些大概的，因为我是一个新手嘛，所以我对于一些概念上的知识就会比较的感兴趣，就包括。苹果，苹果相关的一些智能设计的一些知识，还有就是印象最深的就是跨文化那一个地方，因为我不太知道东方文化和西方文化的一个区别是什么。他举了。无印良品，还有就是西西方的就是苹果。,我认为我最感兴趣的地方就是就是一些，因为我是一个新手，所以我可以对这个概念然后再进行深问，因为如果我是进去之后，我去看这个海报。然后，我其实是如果我不去问他的话，其实我就会去问我旁边的就是因为他是设计专业的，所以他比较专业，所以我可能去问他一些事情。但是我通过这种方式可以去，比如我去了解一些。比如那一个，那个人名到底是谁呀？我可能压根儿都没有听说过，但是他可以告诉我一些相关的一些知识，然后其。然后其次我比较感兴趣的就是，我发现他有一些地方其实讲的我还蛮不认同的，所以我就会去。比如他说东方文化也是简约，西方文化也是简约，它就会引发我的一个深入的思考，就是那他两个都是简约风，那凭什么，凭什么就是东方的简，就是东方的简约风和西方的简约风。不一样的，所以我就会就是先向我的那个先去确认一下，然后确认完之后呢，我还要就是还要就是在就是先向我的小伙伴，然后确认一下。然后然后我们就会再去问AI，AI就会给我们这个答案，就是关于这些，所以我们其实是。以及他的扩展的那个图片，对我印象，因为他海报上的那个图片还其实还没有引起我多大的兴趣，因为都是一些桌子嘛，但是桌子有啥不同呢？对吧，不是桌子，是椅子，但是。那个扩展上面，他给我了一个那个带有码的台灯，我就感觉那个就是很体现幽默感了。所以我会通过这种文字，还有那种图片的形式，更加让我扩展的那种图片形式，更加让我去。了解到这种有意思的东西。
10,3,C,3,2,6,3,4,4,5,5,5,5,3,5,2,2,2,4,3,5,5,5,5,5,3,4,2,3,3,5,2,2,2,,
11,3,,2,2,4,2,4,3,4,3,4,5,4,4,2,3,4,4,4,5,4,5,5,5,4,5,2,3,2,5,3,4,2,,
11,2,,2,1,5,3,4,4,4,4,4,4,4,5,2,3,3,5,4,4,3,5,5,4,3,4,1,3,3,5,2,4,2,,
12,3,,1,1,4,5,5,4,3,4,4,3,3,3,2,2,2,4,4,4,4,5,4,4,2,4,2,3,2,5,1,3,1,,
12,2,,1,1,4,4,4,5,4,4,4,3,2,3,2,2,2,4,4,4,4,4,4,3,2,4,1,4,2,5,1,3,1,,
13,2,,2,2,2,4,5,3,2,1,4,3,3,3,1,1,1,3,4,3,4,3,3,3,1,3,1,3,2,5,1,5,1,,
13,1,,2,2,4,2,5,2,1,2,4,2,2,1,1,2,3,2,4,3,3,3,2,3,3,4,1,3,3,5,1,3,2,,
13,3,,2,1,3,4,5,4,5,3,5,3,2,3,3,3,2,3,4,3,4,4,4,4,2,4,4,3,2,5,2,3,1,,
14,2,,2,1,5,4,5,5,4,3,5,4,4,4,2,2,1,4,4,5,4,5,4,5,1,4,1,5,2,5,1,4,1,,
14,1,,1,1,5,3,5,4,3,3,5,4,5,4,3,2,1,4,5,4,4,4,4,4,1,5,1,4,1,4,1,5,1,,
14,3,,3,2,5,4,5,5,5,3,5,5,5,5,2,1,1,5,4,5,5,5,5,5,2,5,2,4,1,4,2,4,1,,